Object,Category,Description,Implemented,Priority,Notes,
DEWPOINT,Thermophysical,"Dew point temperature, requires 3 inputs",Yes,1,"src/evaluator.cpp, aliases: d",
PSYCHPROPS,Thermophysical,General psychrometric property function,Yes,2,"src/evaluator.cpp — built-in procedure (T,P,R inputs → 9 outputs)"
# --- Thermophysical Functions: Lennard-Jones ---,,,,,,
EK_LJ,Thermophysical,Lennard-Jones energy parameter ε/k [K],No,4,,
SIGMA_LJ,Thermophysical,Lennard-Jones size parameter σ [nm],No,4,,
# --- Thermophysical Functions: Solid/Material ---,,,,,,
Ductility,Thermophysical,Ductility of solid material,No,4,EES material property database,
YOUNGSMODULUS,Thermophysical,Young's modulus [Pa],No,4,Not in EES cnt.htm list but referenced,
POISSONSRATIO,Thermophysical,Poisson's ratio (dimensionless),No,4,,
UltimateStressComp,Thermophysical,Ultimate compressive stress [Pa],No,4,,
UltimateStressShear,Thermophysical,Ultimate shear stress [Pa],No,4,,
YieldStressShear,Thermophysical,Yield shear stress [Pa],No,4,,
ELECTRICALRESISTIVITY,Thermophysical,Electrical resistivity [Ω·m],No,4,,
EMISSIVITY_TOTHEMI,Thermophysical,Total hemispherical emissivity,No,4,,
HenryConstant_Water,Thermophysical,Henry's law constant for gas in water,No,4,,
# --- Fluid Categories ---,,,,,,
Real fluids — Water/Steam,Fluids,"Water, Steam, Steam_IAPWS, R718",Yes,1,"src/fluids.cpp — CoolProp HEOS backend, multiple aliases",
"Real fluids — Common refrigerants (R134a, R410A, R32, etc.)",Fluids,"R134a, R245fa, R22, R32, R404A, R407C, R410A, R507A, R600, R600a, R290, R717, R744",Yes,1,src/fluids.cpp — all map to CoolProp native names,
Real fluids — Extended refrigerants (R11-R1243zf),Fluids,"R11, R12, R13, R14, R23, R41, R113-R365mfc, R1233zd(E), R1234yf, R1234ze(E/Z), etc.",Yes,2,src/fluids.cpp — most CoolProp-supported refrigerants registered,
Real fluids — EES blend refrigerants,Fluids,"R407A, R410H, R417A, R422B/D, R423A, R424A, R427A, R428A, R438A, R448A-R480A, etc.",No,2,Many blends in EES not yet in CoolSolve's fluid registry,
Real fluids — Hydrocarbons,Fluids,"Methane, Ethane, Propane, n-Butane, n-Pentane through n-Dodecane, etc.",Yes,2,src/fluids.cpp — mapped to CoolProp,
Real fluids — Permanent gases,Fluids,"Nitrogen/N2, Oxygen/O2, Argon/Ar, Helium/He, Hydrogen/H2",Yes,1,src/fluids.cpp — both name and formula aliases,
Real fluids — Other organic,Fluids,"Acetone, Benzene, Toluene, EthylBenzene, DiethylEther, DimethylEther, etc.",Yes,2,src/fluids.cpp — CoolProp native,
Real fluids — Siloxanes,Fluids,"D4, D5, D6, MDM, MD2M, MD3M, MD4M, MM",Yes,3,src/fluids.cpp — niche ORC fluids,
Real fluids — Noble/rare gases,Fluids,"Xenon, Krypton, Neon",Yes,3,src/fluids.cpp,
Ideal gas substances,Fluids,"Air, N2, O2, H2, He, Ar, CO2, CO, CH4, C2H6, C3H8, H2O (low P)",Yes,1,"src/fluids.cpp — temperature-dependent Cp, h, s",
Humid air (AirH2O),Fluids,Moist air psychrometrics via CoolProp HumidAir module,Yes,1,"src/evaluator.cpp — special 3-input handling (T,P,W/R/D/B)",
Real air (Air_ha),Fluids,Dry air with real gas equation of state,Yes,2,src/fluids.cpp — CoolProp EOS for dry air,
STEAM_NBS,Fluids,"NBS/NRC steam tables (legacy EES), includes Ice",No,5,EES legacy steam formulation,
NH3H2O,Fluids,Ammonia-water mixture,Yes,2,"src/fluids.cpp — UnsupportedFluid with clear remediation (use REFPROP::Ammonia&Water)"
LiBrH2O,Fluids,Lithium bromide-water solution,Yes,2,"src/fluids.cpp — UnsupportedFluid with clear remediation; pure LiBr available",
"Incompressible substances (solids, brines)",Fluids,"Aluminum, Copper, brines, glycols (EthyleneGlycol, PropyleneGlycol, etc.)",Yes,2,"src/fluids.cpp — full incompressible fluid registry (pure + solutions)",
Combustion gases,Fluids,"CombustionGas_100/200/400, Natural_Gas, Natural_Gas2",No,3,EES specialized combustion module,
NASA thermodynamic data,Fluids,NASA CEA-format ideal gas and condensed species (hundreds),No,3,EES includes NASA Glenn database,
Sea water,Fluids,Sea water properties,No,3,EES specialized fluid,
"Solutions (glycols, brines)",Fluids,"EthyleneGlycol, PropyleneGlycol, CaCl2, LiCl-Water, etc.",Yes,2,"src/fluids.cpp — MEG/MPG/MCA/MNA/MLI/MMA/MEA/MGL with concentration via 2nd positional arg or C=..."
User-supplied property data,Fluids,"User-provided .idg, .mhe, .fld files",No,3,EES allows custom fluid data files,
EES_REFPROP interface,Fluids,Direct REFPROP DLL integration for high-accuracy data,No,3,EES can call NIST REFPROP, CoolSolve uses CoolProp
# --- $ Directives ---,,,,,,
$UnitSystem,Directives,"Set unit system: $UnitSystem SI C Pa J (or Eng, kJ, bar, etc.)",Partial,5,Parser recognizes it, partial semantic handling in units.cpp
$IF / $IFNOT / $ENDIF,Directives,Conditional compilation ($IF DirectiveFlag ... $ENDIF),Yes,1,src/parser.cpp — preprocessor-style conditional blocks,
$ELSE,Directives,Else branch of $IF/$IFNOT conditional,Yes,1,src/parser.cpp,
$Bookmark,Directives,Insert a bookmark marker (GUI navigation aid),Yes,2,src/parser.cpp — parsed and stored,
$CheckUnits,Directives,Enable/disable automatic unit checking,No,3,to be implemented in the coolsolve config as well, ON/OFF/AutoOn/AutoOff
$AutoSetUnits,Directives,Automatically assign units to variables,No,3,to be implemented in the coolsolve config as well,
$AUTOSETARRAYUNITS,Directives,Automatically assign units to array variables,No,3,,
$DefineUnits,Directives,Define custom unit conversion,No,3,,
$ConvertEESREFPROPUnits,Directives,Convert between EES and REFPROP unit conventions,No,4,,
$Common,Directives,Share variables between main and modules/subprograms,No,5,,
$Private,Directives,Hide variables from Solutions/variable list,No,3,,
$Real,Directives,Force variable to be real (disable complex),No,3,,
$DOLAST / $ENDDOLAST,Directives,Equations in $DOLAST block solved after main system,No,4,Common for post-processing calculations,
$Recompile,Directives,Force recompilation,No,4,,
$Arrays ON/OFF,Directives,Show/hide arrays in Solutions window,No,3,EES display control,
$Complex ON/OFF,Directives,Enable/disable complex number support,No,3,,
$Font,Directives,Set display font,No,5,EES GUI-specific,
$HideWindow,Directives,Hide a named EES window,No,5,EES GUI-specific,
$ShowWindow,Directives,Show a named EES window,No,5,EES GUI-specific,
$DiagramUpdate ON/OFF,Directives,Control Diagram window auto-update,No,5,EES GUI-specific,
$Syntax,Directives,Set syntax highlighting style,No,5,EES GUI-specific,
$Tabstops,Directives,Set tab stop positions,No,5,EES GUI-specific,
$Tabwidth,Directives,Set tab width,No,5,EES GUI-specific,
$Trace,Directives,Enable/disable iteration tracing,No,3,Debugging aid,
$Warnings ON/OFF,Directives,Enable/disable warning messages,No,3,,
$SumRow ON/OFF,Directives,Show/hide sum row in tables,No,4,EES table feature,
$VarInfo,Directives,"Set variable info (guess, bounds, units)",No,4,"Very common: $VarInfo var [lower,upper] guess 'units'",
$DefaultVarInfo,Directives,Set default variable info for all variables,No,4,,
$SaveVarInfo,Directives,Save variable info to file,No,4,,
$DefaultArraySize,Directives,Set default array size,No,5,,
$UpdateGuesses,Directives,Update variable guesses from current solution,No,3,,
$StopCriteria,Directives,Set convergence stopping criteria,No,5,Maps to SolverOptions in solver.h,
$MaxCalls,Directives,Set maximum function calls,No,3,,
$Export,Directives,Export data to file,No,3,,
$ExportPlot,Directives,Export a plot to image file,No,5,EES GUI-specific,
$ExportText,Directives,Export equations as text,No,4,,
$Import,Directives,Import data from file,No,3,,
$ImportText,Directives,Import text data,No,3,,
$Include,Directives,Include external EES library file,No,4,File inclusion system,
$Input,Directives,Interactive input prompt,No,3,,
$Load,Directives,Load external function/procedure library,No,3,,
$Unload,Directives,Unload external library,No,4,,
$InsertTab,Directives,Insert a new tab,No,4,EES GUI-specific,
$Keyboard US/EU,Directives,Set keyboard layout for decimal separator,No,4,,
$ClearLookup,Directives,Clear a Lookup table,No,3,Requires Lookup table support,
$ClearParametric,Directives,Clear a Parametric table,No,3,,
$OpenLookup,Directives,Open a Lookup table from file,No,3,,
$SaveLookup,Directives,Save Lookup table to file,No,3,,
$SaveTable,Directives,Save any table to file,No,3,,
$CopyToLookup,Directives,Copy data to Lookup table,No,3,,
$IntegralTable,Directives,Create Integral table for time-stepping,No,4,Used with INTEGRAL function,
$IntegralAutoStep,Directives,Auto-step control for integration,No,4,,
$IntegralStop,Directives,Stop condition for integration,No,4,,
$NewPlot,Directives,Create a new plot window,No,4,EES GUI-specific,
$OverlayPlot,Directives,Overlay data on existing plot,No,4,,
$PropertyPlot,Directives,Create a thermodynamic property plot (T-s/P-h/etc.),No,3,Useful but GUI-dependent,
$ModifyAxis,Directives,Modify plot axis properties,No,5,EES GUI-specific,
$ModifyPlot,Directives,Modify plot properties,No,5,EES GUI-specific,
$VectorPlot / $VectorPlot2D,Directives,Create vector field plot,No,5,EES GUI-specific,
$Python,Directives,Execute Python code,No,4,EES-specific Python bridge,
$Reference,Directives,Set reference state for a fluid,No,5,Maps to CoolSolve's reference state offset system,
$RequiredOutputs,Directives,Specify required output variables,No,3,,
$RunMacroAfter,Directives,Run macro after calculation,No,5,EES macro system,
$RunMacroBefore,Directives,Run macro before calculation,No,5,EES macro system,
$DefaultDirectory,Directives,Set default file directory,No,4,,
$Allow,Directives,Allow specific syntax (e.g. $Allow '//' for C-style comments),No,3,CoolSolve allows // by default,
# --- Built-in Constants ---,,,,,,
pi / PI,Constants,"Pi (3.14159265358979323846), no # suffix",Yes,1,src/constants.cpp,
g#,Constants,Standard gravitational acceleration (9.80665 m/s²),Yes,1,src/constants.cpp,
R#,Constants,Universal gas constant (8314.462618 J/(kmol·K)),Yes,1,src/constants.cpp,
k#,Constants,Boltzmann constant (1.380649e-23 J/K),Yes,1,src/constants.cpp,
sigma#,Constants,Stefan-Boltzmann constant (5.670374419e-8 W/(m²·K⁴)),Yes,1,src/constants.cpp,
Po#,Constants,Standard atmospheric pressure (101325 Pa),Yes,1,src/constants.cpp,
To#,Constants,Standard temperature (298.15 K = 25°C),Yes,1,src/constants.cpp,
c#,Constants,Speed of light in vacuum (299792458 m/s),Yes,1,src/constants.cpp,
h#,Constants,Planck constant (6.62607015e-34 J·s),Yes,1,src/constants.cpp,
e#,Constants,Elementary charge (1.602176634e-19 C),Yes,1,src/constants.cpp,
me#,Constants,Electron mass (9.10938356e-31 kg),Yes,1,src/constants.cpp,
mp#,Constants,Proton mass (1.6726219e-27 kg),Yes,1,src/constants.cpp,
mn#,Constants,Neutron mass (1.674927471e-27 kg),Yes,1,src/constants.cpp,
NA# / Avogadro#,Constants,Avogadro constant (6.02214076e23 1/mol),Yes,1,src/constants.cpp — two aliases,
$Constant,Constants,User-defined constant via directive,No,4,EES allows defining custom constants,
# --- Solver Features ---,,,,,,
Newton-Raphson,Solver,Newton's method with analytic Jacobian (AD),Yes,1,src/solver_newton.cpp — forward-mode autodiff Jacobian,
Trust Region,Solver,Trust-region method for globalization,Yes,1,src/solver_trustregion.cpp,
Levenberg-Marquardt,Solver,Damped least-squares solver,Yes,1,src/solver_lm.cpp,
BisectionND,Solver,N-dimensional bisection fallback,Yes,2,src/solver_bisection.cpp,
Homotopy,Solver,Continuation/homotopy method,Yes,2,src/solver_homotopy.cpp,
Partitioned solving,Solver,"Block decomposition (Hopcroft-Karp + Tarjan SCC), tearing",Yes,1,src/solver_partitioned.cpp — automatically decomposes system,
Sequential fallback pipeline,Solver,Automatic fallback: Newton→TrustRegion→LM→Bisection→Homotopy→Partitioned,Yes,1,solver.h — SolverOptions::strategies vector,
Monotone line search,Solver,Armijo backtracking line search,Yes,1,Used in Newton solver,
Non-monotone line search,Solver,Relaxed line search for non-monotone convergence,Yes,2,,
Symbolic reduction,Solver,Reduce system by substituting trivially solved variables,Yes,1,Structural analysis phase,
Variable bounds,Solver,Lower/upper bounds on variables during iteration,Yes,1,SolverOptions struct,
Convergence tolerance,Solver,Configurable tolerance (default 1e-9),Yes,1,SolverOptions::tolerance,
Max iterations,Solver,Configurable max iterations (default 100),Yes,1,SolverOptions::maxIterations,
Min/Max (optimization),Solver,Single-variable and multi-variable optimization,No,3,EES Calculate menu: Min/Max,
Uncertainty propagation,Solver,Automatic uncertainty propagation analysis,No,4,EES Calculate menu: Uncertainty Propagation,
